X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.6231871,53.51542535,9916,2022/08/25 12:00:00+00,Drugs,Drug Violations,Drugs,175 ST/82 AV,25,8,2022,25-08-2022
-113.4821734,53.54378914,9917,2022/08/25 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,96 ST/101A AV,25,8,2022,25-08-2022
-113.3701414,53.44623022,9918,2022/08/25 12:00:00+00,Non-Violent,Property,Fraud Personal,16B AV/18 ST,25,8,2022,25-08-2022
-113.5028558,53.56701749,9919,2022/08/25 12:00:00+00,Non-Violent,Property,Theft Under $5000,106 ST/PRINCESS ELIZABETH AV,25,8,2022,25-08-2022
-113.4957272,53.5388933,9920,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 AV/102 ST,24,8,2022,24-08-2022
-113.5135986,53.58744878,9921,2022/08/24 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,129 AV/112 ST,24,8,2022,24-08-2022
-113.4847402,53.58693063,9922,2022/08/24 12:00:00+00,Disorder,General Disorder,Trouble with Person,128A AV/93 ST,24,8,2022,24-08-2022
-113.4824425,53.60591511,9923,2022/08/24 12:00:00+00,Disorder,General Disorder,Trouble with Person,144 AV/92 ST,24,8,2022,24-08-2022
-113.5732215,53.59374994,9924,2022/08/24 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,134 AV/146 ST,24,8,2022,24-08-2022
-113.5506139,53.60160925,9925,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,133 ST/140 AV,24,8,2022,24-08-2022
-113.6153576,53.52485889,9926,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,170 ST/90 AV,24,8,2022,24-08-2022
-113.4838723,53.44794501,9927,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,19 AV/98 ST,24,8,2022,24-08-2022
-113.4083377,53.46550867,9928,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,35A AV/45 ST,24,8,2022,24-08-2022
-113.48613,53.51805534,9929,2022/08/24 12:00:00+00,Violent,Personal Violence,Assault,82 AV/99 ST,24,8,2022,24-08-2022
-113.496404,53.50436013,9930,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 ST/68 AV,24,8,2022,24-08-2022
-113.4726635,53.55377307,9931,2022/08/24 12:00:00+00,Disorder,General Disorder,Trouble with Person,87 ST/JASPER AV,24,8,2022,24-08-2022
-113.5810221,53.48917647,9932,2022/08/24 12:00:00+00,Disorder,General Disorder,Trespassing,151 ST/51 AV,24,8,2022,24-08-2022
-113.434088,53.45953482,9933,2022/08/24 12:00:00+00,Disorder,General Disorder,Trouble with Person,66 ST/66 ST,24,8,2022,24-08-2022
-113.6179047,53.55457166,9934,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,108 AV/172 ST,24,8,2022,24-08-2022
-113.6153576,53.52485889,9935,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,170 ST/90 AV,24,8,2022,24-08-2022
-113.5163373,53.4845436,9936,2022/08/24 12:00:00+00,Violent,Personal Violence,Assault,SOUTHGATE TC/SOUTHGATE TC,24,8,2022,24-08-2022
-113.5194694,53.53763389,9937,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,115 ST/174 ST,24,8,2022,24-08-2022
-113.6205648,53.54136975,9938,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,STONY PLAIN RD/175 ST,24,8,2022,24-08-2022
-113.6944375,53.54158753,9939,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,218 ST/STONY PLAIN RD,24,8,2022,24-08-2022
-113.5034852,53.51808534,9940,2022/08/24 12:00:00+00,Non-Violent,Property,Fraud General,106 ST/82 AV,24,8,2022,24-08-2022
-113.4726635,53.55377307,9941,2022/08/24 12:00:00+00,Violent,Personal Violence,Assault,87 ST/JASPER AV,24,8,2022,24-08-2022
